invoice_no,customer_id,country,order_date,n_line_items,total_quantity,order_value
489810,18108,United Kingdom,2009-12-02,26,165,493.25
489811,16210,United Kingdom,2009-12-02,9,515,634.29
489812,17377,United Kingdom,2009-12-02,25,85,597.69
489814,14669,United Kingdom,2009-12-02,84,506,824.18
489815,17909,United Kingdom,2009-12-02,8,41,132.55
489816,16086,United Kingdom,2009-12-02,27,258,284.55
489817,16711,United Kingdom,2009-12-02,3,132,340.2
489818,16233,United Kingdom,2009-12-02,14,102,294.3
489819,14739,United Kingdom,2009-12-02,13,465,618.43
489822,14204,United Kingdom,2009-12-02,54,103,371.27
489823,17606,United Kingdom,2009-12-02,6,42,87.3
489824,16797,United Kingdom,2009-12-02,44,127,176.88
489825,16126,United Kingdom,2009-12-02,10,94,174.1
489826,17867,United Kingdom,2009-12-02,10,17,85.95
489827,17412,United Kingdom,2009-12-02,23,382,445.7
489829,16525,United Kingdom,2009-12-02,8,237,472.47
489830,13623,United Kingdom,2009-12-02,62,242,637.04
489831,12435,Denmark,2009-12-02,1,480,1008.0
489832,14549,United Kingdom,2009-12-02,54,122,316.22
489833,14980,United Kingdom,2009-12-02,24,79,150.68
489834,14106,United Kingdom,2009-12-02,1,24,214.8
489835,15061,United Kingdom,2009-12-02,2,280,714.0
489837,14396,United Kingdom,2009-12-02,43,274,514.97
489840,14122,United Kingdom,2009-12-02,1,6,89.7
489855,16987,United Kingdom,2009-12-02,28,56,157.91
489862,17809,United Kingdom,2009-12-02,4,150,734.7
489863,15917,United Kingdom,2009-12-02,18,21,66.82
489864,14987,United Kingdom,2009-12-02,3,79,206.85
489865,14080,United Kingdom,2009-12-02,18,53,234.87
489866,16200,United Kingdom,2009-12-02,109,587,1003.83
489868,15794,United Kingdom,2009-12-02,14,248,675.0
489869,16200,United Kingdom,2009-12-02,17,27,39.98
489870,15523,United Kingdom,2009-12-02,3,118,162.1
489871,15523,United Kingdom,2009-12-02,5,274,735.7
489872,15615,United Kingdom,2009-12-02,22,320,632.9
489873,15615,United Kingdom,2009-12-02,1,12,10.2
489874,18001,United Kingdom,2009-12-02,12,144,176.6
489875,17841,United Kingdom,2009-12-02,92,219,530.76
489876,15917,United Kingdom,2009-12-02,18,22,39.85
489877,13089,United Kingdom,2009-12-02,4,162,368.1
489878,15989,United Kingdom,2009-12-02,36,56,143.11
489879,17660,United Kingdom,2009-12-02,42,138,163.47
489880,13313,United Kingdom,2009-12-02,22,552,380.28
489883,12437,France,2009-12-02,26,260,524.28
489884,13313,United Kingdom,2009-12-02,1,19,3.61
489888,14841,United Kingdom,2009-12-02,26,660,597.4
489889,14646,Netherlands,2009-12-02,20,3200,4734.24
489890,14646,Netherlands,2009-12-02,3,592,976.8
489891,15482,United Kingdom,2009-12-02,6,144,181.08
489893,16156,United Kingdom,2009-12-02,9,98,300.1
489894,17716,United Kingdom,2009-12-02,27,396,520.2
489895,12779,Poland,2009-12-03,22,266,371.82
489896,13611,United Kingdom,2009-12-03,20,227,337.93
489897,15255,United Kingdom,2009-12-03,13,176,260.44
489900,14771,United Kingdom,2009-12-03,19,253,287.37
489902,14838,United Kingdom,2009-12-03,4,18,119.1
489904,13979,United Kingdom,2009-12-03,13,150,203.78
489905,13800,United Kingdom,2009-12-03,19,242,478.7
489906,14483,United Kingdom,2009-12-03,4,96,120.0
489907,14915,United Kingdom,2009-12-03,11,104,202.06
489908,16301,United Kingdom,2009-12-03,6,41,107.33
489909,13753,United Kingdom,2009-12-03,16,428,642.2
489910,15482,United Kingdom,2009-12-03,1,288,144.0
489912,13931,United Kingdom,2009-12-03,58,578,1146.1
489913,13931,United Kingdom,2009-12-03,3,16,69.6
489914,12921,United Kingdom,2009-12-03,29,508,993.0
489915,17035,United Kingdom,2009-12-03,2,36,54.6
489916,15194,United Kingdom,2009-12-03,9,212,336.0
489932,14347,United Kingdom,2009-12-03,6,48,82.6
489935,12934,United Kingdom,2009-12-03,2,31,181.65
489994,15291,United Kingdom,2009-12-03,4,142,430.9
489996,17209,United Kingdom,2009-12-03,5,514,320.4
489998,15658,United Kingdom,2009-12-03,17,93,321.65
489999,17314,United Kingdom,2009-12-03,7,72,154.2
490000,17155,United Kingdom,2009-12-03,12,89,143.06
490001,15965,United Kingdom,2009-12-03,2,94,169.5
490002,17322,United Kingdom,2009-12-03,28,115,114.55
490003,16159,United Kingdom,2009-12-03,12,163,317.55
490004,14051,United Kingdom,2009-12-03,9,224,912.56
490005,13993,United Kingdom,2009-12-03,25,203,556.75
490006,17411,United Kingdom,2009-12-03,19,150,344.4
490008,15768,United Kingdom,2009-12-03,63,257,503.93
490009,12835,United Kingdom,2009-12-03,29,100,285.09
490010,15061,United Kingdom,2009-12-03,1,480,1008.0
490011,16918,United Kingdom,2009-12-03,43,138,221.69
490012,15179,United Kingdom,2009-12-03,27,339,763.35
490013,17069,United Kingdom,2009-12-03,33,395,500.55
490014,15466,United Kingdom,2009-12-03,91,407,744.21
490017,14159,United Kingdom,2009-12-03,97,267,393.65
490018,17940,United Kingdom,2009-12-03,4,17520,4380.0
490019,17581,United Kingdom,2009-12-03,15,116,308.6
490020,17581,United Kingdom,2009-12-03,3,14,37.8
490021,17581,United Kingdom,2009-12-03,1,12,10.2
490022,17581,United Kingdom,2009-12-03,3,24,45.6
490023,16168,United Kingdom,2009-12-03,4,49,189.15
490024,14606,United Kingdom,2009-12-03,48,121,215.0
490034,17287,United Kingdom,2009-12-03,11,30,69.82
490045,17287,United Kingdom,2009-12-03,22,109,180.39
490046,13416,United Kingdom,2009-12-03,7,66,228.3
490047,17913,United Kingdom,2009-12-03,27,131,263.85
490048,16779,United Kingdom,2009-12-03,34,681,1146.71
490049,15794,United Kingdom,2009-12-03,1,40,102.0
490050,17913,United Kingdom,2009-12-03,1,2,13.5
490052,13895,United Kingdom,2009-12-03,42,408,831.0
490053,14057,United Kingdom,2009-12-03,17,101,119.54
490054,17017,United Kingdom,2009-12-03,7,186,277.5
490056,13208,United Kingdom,2009-12-03,16,56,61.12
490057,17465,United Kingdom,2009-12-03,20,184,360.52
490058,17465,United Kingdom,2009-12-03,2,27,47.85
490059,18102,United Kingdom,2009-12-03,9,4825,14475.0
490060,13468,United Kingdom,2009-12-03,17,148,314.22
490061,18102,United Kingdom,2009-12-03,4,2000,4000.0
490062,13485,United Kingdom,2009-12-03,8,86,165.3
490063,17271,United Kingdom,2009-12-03,46,117,210.39
490064,16139,United Kingdom,2009-12-03,19,215,355.59
490065,15061,United Kingdom,2009-12-03,1,600,1260.0
490066,15953,United Kingdom,2009-12-03,7,212,372.2
490067,15856,United Kingdom,2009-12-03,24,412,952.61
490068,13085,United Kingdom,2009-12-03,9,90,284.3
490069,13085,United Kingdom,2009-12-03,5,60,161.4
490070,14967,United Kingdom,2009-12-03,5,68,236.25
490071,16497,United Kingdom,2009-12-03,19,111,294.85
490072,17764,United Kingdom,2009-12-03,29,71,194.65
490073,14905,United Kingdom,2009-12-03,13,172,258.1
490075,18229,United Kingdom,2009-12-03,4,84,381.0
490077,17293,United Kingdom,2009-12-03,6,65,115.51
490078,17853,United Kingdom,2009-12-03,28,159,584.35
490079,15550,United Kingdom,2009-12-03,10,85,160.35
490080,13531,United Kingdom,2009-12-03,15,126,311.7
490081,13786,United Kingdom,2009-12-03,20,323,723.09
490082,14952,United Kingdom,2009-12-03,7,262,337.9
490083,14031,United Kingdom,2009-12-03,61,1132,2506.14
490085,12937,United Kingdom,2009-12-03,15,108,170.06
490086,17949,United Kingdom,2009-12-03,1,432,799.2
490087,15601,United Kingdom,2009-12-03,51,668,898.18
490088,15581,United Kingdom,2009-12-03,2,2,17.0
490089,17949,United Kingdom,2009-12-03,1,252,466.2
490090,15581,United Kingdom,2009-12-03,15,25,45.55
490091,17949,United Kingdom,2009-12-03,1,600,636.0
490092,16612,United Kingdom,2009-12-03,23,297,510.87
490093,12949,United Kingdom,2009-12-03,64,896,1794.7
490094,17949,United Kingdom,2009-12-03,1,504,851.76
490095,14958,United Kingdom,2009-12-03,12,54,186.36
490097,17329,United Kingdom,2009-12-03,35,146,279.42
490099,16736,United Kingdom,2009-12-03,74,526,1225.98
490100,13001,United Kingdom,2009-12-03,83,403,869.93
490101,14644,United Kingdom,2009-12-03,11,150,338.5
490106,14898,United Kingdom,2009-12-03,20,275,314.37
490107,14662,United Kingdom,2009-12-03,8,30,110.7
490108,17414,United Kingdom,2009-12-03,5,444,239.68
490109,14755,United Kingdom,2009-12-03,20,204,415.0
490110,14755,United Kingdom,2009-12-03,2,13,30.15
490111,17576,United Kingdom,2009-12-03,29,221,321.21
490112,13037,United Kingdom,2009-12-03,20,161,313.19
490113,14710,United Kingdom,2009-12-03,11,16,39.2
490114,18168,United Kingdom,2009-12-03,21,160,257.62
490115,17679,United Kingdom,2009-12-03,12,316,342.6
490116,17679,United Kingdom,2009-12-03,4,48,122.4
490118,17851,United Kingdom,2009-12-03,46,151,317.04
490119,12931,United Kingdom,2009-12-03,1,75,108.75
490121,14750,United Kingdom,2009-12-03,32,65,112.03
490124,16791,United Kingdom,2009-12-03,43,107,319.87
490125,16558,United Kingdom,2009-12-03,9,109,297.05
490127,14156,EIRE,2009-12-03,32,202,519.18
490128,15884,United Kingdom,2009-12-03,13,156,241.8
490132,17343,United Kingdom,2009-12-03,12,89,197.3
490134,17372,United Kingdom,2009-12-03,25,59,151.65
490135,16003,United Kingdom,2009-12-03,18,127,387.87
490136,17432,United Kingdom,2009-12-03,39,71,174.85
490137,14713,United Kingdom,2009-12-03,21,104,160.69
490138,16722,United Kingdom,2009-12-03,14,198,339.78
490139,12577,France,2009-12-03,13,79,210.55
490140,12872,United Kingdom,2009-12-03,42,227,407.22
490141,15755,United Kingdom,2009-12-04,18,158,308.75
490142,14258,United Kingdom,2009-12-04,14,356,1261.0
490143,14286,United Kingdom,2009-12-04,76,1687,1610.52
490144,13154,United Kingdom,2009-12-04,18,152,337.1
490145,14564,Channel Islands,2009-12-04,39,439,989.18
490147,13408,United Kingdom,2009-12-04,8,472,510.64
490151,16645,United Kingdom,2009-12-04,14,117,160.39
490152,12714,France,2009-12-04,28,231,556.65
490154,16335,United Kingdom,2009-12-04,46,111,290.48
490156,13093,United Kingdom,2009-12-04,6,262,455.36
490157,16736,United Kingdom,2009-12-04,1,40,138.0
490158,12759,Netherlands,2009-12-04,21,278,454.26
490159,13666,United Kingdom,2009-12-04,2,2,19.5
490160,13777,United Kingdom,2009-12-04,1,96,244.8
490161,17160,United Kingdom,2009-12-04,59,653,825.94
490162,13946,United Kingdom,2009-12-04,26,206,280.2
490163,14723,United Kingdom,2009-12-04,17,115,141.63
490164,14961,United Kingdom,2009-12-04,41,632,1058.4
490166,14735,United Kingdom,2009-12-04,12,175,371.85
490167,18061,United Kingdom,2009-12-04,8,241,312.21
490171,15581,United Kingdom,2009-12-04,5,32,29.28
490202,15078,United Kingdom,2009-12-04,20,188,410.0
490209,17389,United Kingdom,2009-12-04,5,484,908.04
490212,16883,United Kingdom,2009-12-04,12,41,108.95
490214,13175,United Kingdom,2009-12-04,20,201,319.15
490218,17076,United Kingdom,2009-12-04,3,48,67.68
490219,13948,United Kingdom,2009-12-04,7,63,155.65
490229,18223,United Kingdom,2009-12-04,34,713,1185.16
490247,16192,United Kingdom,2009-12-04,11,208,351.3
490258,15999,United Kingdom,2009-12-04,1,24,20.4
490266,15109,United Kingdom,2009-12-04,8,50,231.2
490272,14680,United Kingdom,2009-12-04,56,273,521.38
490277,18092,United Kingdom,2009-12-04,10,600,1077.6
490279,16891,United Kingdom,2009-12-04,71,164,317.83
490281,13481,United Kingdom,2009-12-04,16,148,311.2
490282,13807,United Kingdom,2009-12-04,7,43,107.95
490284,14979,United Kingdom,2009-12-04,42,213,439.46
490285,16656,United Kingdom,2009-12-04,7,210,373.74
490286,14527,United Kingdom,2009-12-04,53,147,762.1
490287,16746,United Kingdom,2009-12-04,14,218,367.1
490288,17157,United Kingdom,2009-12-04,3,112,332.16
490289,15309,United Kingdom,2009-12-04,20,143,273.75
490290,16325,United Kingdom,2009-12-04,10,85,164.03
490291,16541,United Kingdom,2009-12-04,38,173,424.03
490292,16723,United Kingdom,2009-12-04,50,157,460.55
490293,16699,United Kingdom,2009-12-04,14,130,137.4
490294,16710,United Kingdom,2009-12-04,61,298,378.96
490295,12510,Spain,2009-12-04,16,500,323.88
490297,13162,United Kingdom,2009-12-04,14,328,694.2
490298,15382,United Kingdom,2009-12-04,40,954,1523.2
490299,13680,United Kingdom,2009-12-04,43,193,621.22
490300,12970,United Kingdom,2009-12-04,69,187,259.58
490301,15311,United Kingdom,2009-12-04,9,93,345.27
490302,17841,United Kingdom,2009-12-04,65,128,303.62
490303,17935,United Kingdom,2009-12-04,7,55,106.25
490304,17593,United Kingdom,2009-12-04,46,339,843.01
490305,17243,United Kingdom,2009-12-04,31,289,726.57
490308,12835,United Kingdom,2009-12-04,16,85,194.53
490310,17151,United Kingdom,2009-12-04,4,42,231.9
490311,16451,United Kingdom,2009-12-04,22,201,307.65
490312,17961,United Kingdom,2009-12-04,61,352,326.13
490313,17127,United Kingdom,2009-12-04,6,49,137.95
490320,13694,United Kingdom,2009-12-04,9,1327,867.89
490323,14087,United Kingdom,2009-12-04,64,201,236.69
490324,13694,United Kingdom,2009-12-04,2,320,672.0
490326,13733,United Kingdom,2009-12-04,10,62,149.1
490327,13694,United Kingdom,2009-12-04,2,600,990.0
490331,18181,United Kingdom,2009-12-04,58,115,298.99
490340,13174,United Kingdom,2009-12-04,47,363,630.39
490341,13329,United Kingdom,2009-12-04,19,270,334.65
490342,17421,United Kingdom,2009-12-04,4,96,130.8
490346,16351,United Kingdom,2009-12-04,16,156,216.6
490347,15684,United Kingdom,2009-12-04,8,68,109.4
490349,17884,United Kingdom,2009-12-04,3,9,32.25
490353,15514,United Kingdom,2009-12-04,36,445,532.28
490355,13093,United Kingdom,2009-12-04,4,287,538.11
490356,17884,United Kingdom,2009-12-04,9,103,117.13
490359,18225,United Kingdom,2009-12-04,1,10,59.5
490360,13679,United Kingdom,2009-12-04,21,34,126.8
490362,12748,United Kingdom,2009-12-04,32,203,220.9
490363,13199,United Kingdom,2009-12-05,1,192,138.24
490364,13487,United Kingdom,2009-12-05,6,25,103.95
490365,17018,United Kingdom,2009-12-05,5,120,351.6
490366,18071,United Kingdom,2009-12-05,14,147,227.25
490367,16593,United Kingdom,2009-12-05,2,8,79.6
490368,14238,United Kingdom,2009-12-05,2,18,159.1
490369,15223,United Kingdom,2009-12-05,4,44,230.2
490370,17593,United Kingdom,2009-12-05,26,177,452.95
490371,13021,United Kingdom,2009-12-05,14,185,233.71
490372,17115,United Kingdom,2009-12-05,15,95,434.15
490373,17850,United Kingdom,2009-12-05,18,146,502.54
490374,14239,United Kingdom,2009-12-05,9,65,136.75
490375,13999,United Kingdom,2009-12-05,20,185,350.55
490376,13958,United Kingdom,2009-12-05,24,389,796.55
490377,13958,United Kingdom,2009-12-05,1,12,15.0
490378,13641,United Kingdom,2009-12-05,15,134,224.1
490380,17850,United Kingdom,2009-12-05,18,142,478.74
490381,15420,United Kingdom,2009-12-05,7,141,97.11
490382,12359,Cyprus,2009-12-05,32,397,760.69
490383,12820,United Kingdom,2009-12-05,4,50,148.3
490385,16410,United Kingdom,2009-12-05,5,348,130.32
490386,15240,United Kingdom,2009-12-05,33,473,549.77
490387,17850,United Kingdom,2009-12-05,18,130,450.84
490388,16158,United Kingdom,2009-12-05,9,84,146.62
490389,15484,United Kingdom,2009-12-05,33,611,689.5
490390,14709,United Kingdom,2009-12-05,8,104,256.2
490391,15057,United Kingdom,2009-12-05,11,100,304.1
490392,14867,United Kingdom,2009-12-05,9,56,203.32
490393,17642,United Kingdom,2009-12-05,19,281,281.02
490394,17850,United Kingdom,2009-12-05,18,260,870.28
490395,13813,Germany,2009-12-06,12,165,247.15
490396,13589,United Kingdom,2009-12-06,15,77,269.15
490397,12417,Belgium,2009-12-06,17,140,279.1
490398,17920,United Kingdom,2009-12-06,29,236,567.71
490399,12975,United Kingdom,2009-12-06,23,115,441.63
490400,16104,United Kingdom,2009-12-06,49,183,689.9
490401,17150,United Kingdom,2009-12-06,13,49,139.25
490403,17920,United Kingdom,2009-12-06,69,150,316.74
490404,16277,United Kingdom,2009-12-06,23,33,188.69
490405,17244,United Kingdom,2009-12-06,21,57,260.65
490408,17850,United Kingdom,2009-12-06,15,128,413.44
490430,15260,United Kingdom,2009-12-06,13,83,253.55
490458,12583,France,2009-12-06,22,384,745.44
490459,15555,United Kingdom,2009-12-06,51,416,950.69
490461,13736,United Kingdom,2009-12-06,114,381,720.79
490463,14133,United Kingdom,2009-12-06,8,50,305.5
490464,15571,United Kingdom,2009-12-06,16,43,118.26
490465,13448,United Kingdom,2009-12-06,66,478,933.35
490466,17085,United Kingdom,2009-12-06,21,79,183.6
490467,15059,United Kingdom,2009-12-06,44,169,280.94
490468,14468,United Kingdom,2009-12-06,12,164,204.24
490470,16395,United Kingdom,2009-12-06,48,166,242.96
490471,15878,United Kingdom,2009-12-06,29,71,212.13
490472,16485,United Kingdom,2009-12-06,29,340,619.24
490473,15860,United Kingdom,2009-12-06,25,185,204.65
490474,13373,United Kingdom,2009-12-06,35,336,748.42
490476,14608,United Kingdom,2009-12-06,3,98,211.62
490477,17850,United Kingdom,2009-12-06,18,158,533.14
490478,14896,United Kingdom,2009-12-06,41,129,302.5
490479,16779,United Kingdom,2009-12-06,35,778,1450.2
490481,16964,United Kingdom,2009-12-06,2,5,21.25
490482,15983,United Kingdom,2009-12-06,25,147,289.3
490483,13782,United Kingdom,2009-12-06,10,28,132.4
490484,16964,United Kingdom,2009-12-06,4,44,186.6
490485,14454,United Kingdom,2009-12-06,17,63,125.94
490486,16779,United Kingdom,2009-12-06,1,72,90.0
490487,14717,United Kingdom,2009-12-06,11,32,81.3
490488,16718,United Kingdom,2009-12-06,32,503,647.82
490489,15751,United Kingdom,2009-12-06,24,87,266.19
490490,14546,United Kingdom,2009-12-06,85,313,547.73
490491,17848,United Kingdom,2009-12-06,6,85,175.2
490493,15751,United Kingdom,2009-12-06,1,3,12.75
490494,17561,United Kingdom,2009-12-06,51,85,192.27
490496,15547,United Kingdom,2009-12-06,50,336,671.56
490499,17406,United Kingdom,2009-12-06,21,356,406.7
490500,14479,United Kingdom,2009-12-06,30,188,355.13
490501,16710,United Kingdom,2009-12-06,31,424,285.64
490502,17969,United Kingdom,2009-12-06,19,26,101.4
490503,14548,United Kingdom,2009-12-06,37,241,582.12
490504,15311,United Kingdom,2009-12-06,24,95,391.92
490505,14548,United Kingdom,2009-12-06,15,34,98.16
490506,17916,United Kingdom,2009-12-06,11,47,25.46
490508,17850,United Kingdom,2009-12-06,18,130,450.84
490511,13319,United Kingdom,2009-12-06,18,208,626.6
490512,14606,United Kingdom,2009-12-06,49,85,235.13
490514,16773,United Kingdom,2009-12-06,23,47,137.75
490515,15479,United Kingdom,2009-12-06,9,38,147.4
490516,17850,United Kingdom,2009-12-06,18,146,504.54
490518,15822,United Kingdom,2009-12-06,15,290,474.32
490519,13890,United Kingdom,2009-12-06,13,89,213.65
