invoice_no,stock_code,description,quantity,invoice_date,unit_price,customer_id,country,line_total
489576,22152,PLACE SETTING WHITE STAR,24,2009-12-01 13:38:00,0.42,15984,United Kingdom,10.08
489582,21768,WALL MOUNTED VINTAGE ORGANISER,1,2009-12-01 13:47:00,14.95,14543,United Kingdom,14.95
489581,84755,COLOUR GLASS T-LIGHT HOLDER HANGING,8,2009-12-01 13:47:00,0.65,15945,United Kingdom,5.2
489594,21231,SWEETHEART CERAMIC TRINKET BOX,11,2009-12-01 14:19:00,1.25,15005,United Kingdom,13.75
489594,20676,RED SPOTTY BOWL,6,2009-12-01 14:19:00,1.25,15005,United Kingdom,7.5
489593,37503,TEA TIME CAKE STAND IN GIFT BOX,4,2009-12-01 14:19:00,10.75,12836,United Kingdom,43.0
489594,22065,CHRISTMAS PUDDING TRINKET POT,6,2009-12-01 14:19:00,1.45,15005,United Kingdom,8.7
489598,22189,CREAM HEART CARD HOLDER,4,2009-12-01 14:35:00,3.95,16620,United Kingdom,15.8
489599,21164,HOME SWEET HOME METAL SIGN,12,2009-12-01 14:40:00,2.95,12758,Portugal,35.4
489599,21238,RED SPOTTY CUP,16,2009-12-01 14:40:00,0.85,12758,Portugal,13.6
489599,22355,"CHARLOTTE BAG , SUKI DESIGN",20,2009-12-01 14:40:00,0.85,12758,Portugal,17.0
489599,21155,RED SPOTTY PEG BAG,12,2009-12-01 14:40:00,2.1,12758,Portugal,25.2
489617,21622,VINTAGE UNION JACK CUSHION COVER,4,2009-12-01 14:59:00,4.95,13442,United Kingdom,19.8
489635,21355,TOAST ITS - I LOVE YOU,12,2009-12-01 15:26:00,1.25,16763,United Kingdom,15.0
489640,17165B,ASS COL LARGE SAND GECKO P'WEIGHT,4,2009-12-01 16:17:00,1.05,17345,United Kingdom,4.2
489652,22065,CHRISTMAS PUDDING TRINKET POT,12,2009-12-01 17:08:00,1.45,15265,United Kingdom,17.4
489658,79323S,SILVER CHERRY LIGHTS,6,2009-12-01 17:31:00,6.75,15485,United Kingdom,40.5
489672,72741,GRAND CHOCOLATECANDLE,9,2009-12-02 09:21:00,1.45,14831,United Kingdom,13.05
489672,21535,RETRO SPOT SMALL MILK JUG,6,2009-12-02 09:21:00,2.55,14831,United Kingdom,15.3
489673,22195,HEART MEASURING SPOONS LARGE,12,2009-12-02 09:23:00,1.65,14831,United Kingdom,19.8
489683,21313,GLASS HEART T-LIGHT HOLDER,24,2009-12-02 10:09:00,0.85,16131,United Kingdom,20.4
489705,22207,FRYING PAN UNION FLAG,4,2009-12-02 10:52:00,4.25,16700,United Kingdom,17.0
489723,21098,CHRISTMAS TOILET ROLL,36,2009-12-02 10:58:00,1.06,14299,United Kingdom,38.16
489728,22340,NOEL GARLAND PAINTED ZINC,12,2009-12-02 11:18:00,1.65,14799,United Kingdom,19.8
489728,20668,DISCO BALL CHRISTMAS DECORATION,288,2009-12-02 11:18:00,0.1,14799,United Kingdom,28.8
489766,85042,ANTIQUE LILY FAIRY LIGHTS,1,2009-12-02 11:34:00,4.95,17818,United Kingdom,4.95
489780,22086,PAPER CHAIN KIT 50'S CHRISTMAS,12,2009-12-02 11:43:00,2.95,13654,United Kingdom,35.4
489782,22315,200 RED + WHITE BENDY STRAWS,2,2009-12-02 11:45:00,1.25,17189,United Kingdom,2.5
489785,21983,PACK OF 12 BLUE PAISLEY TISSUES,6,2009-12-02 11:51:00,0.29,14653,United Kingdom,1.74
489786,79191C,RETRO PLASTIC ELEPHANT TRAY,3,2009-12-02 11:52:00,0.85,17019,United Kingdom,2.55
489786,20974,12 PENCILS SMALL TUBE SKULL,3,2009-12-02 11:52:00,0.65,17019,United Kingdom,1.95
489787,21929,JUMBO BAG PINK VINTAGE PAISLEY,2,2009-12-02 11:53:00,1.95,15542,United Kingdom,3.9
489787,20728,LUNCH BAG CARS BLUE,1,2009-12-02 11:53:00,1.65,15542,United Kingdom,1.65
489787,84684,BEACH HUT PHOTO FRAME,1,2009-12-02 11:53:00,2.55,15542,United Kingdom,2.55
489792,21041,RED SPOTTY OVEN GLOVE DOUBLE,5,2009-12-02 12:06:00,2.95,14527,United Kingdom,14.75
489792,21628,TRIANGULAR POUFFE VINTAGE,1,2009-12-02 12:06:00,14.95,14527,United Kingdom,14.95
489792,21486,PINK HEART DOTS HOT WATER BOTTLE,1,2009-12-02 12:06:00,3.75,14527,United Kingdom,3.75
489791,84466,TOP SECRET PEN SET,1,2009-12-02 12:06:00,1.25,15542,United Kingdom,1.25
489791,21470,FLOWER VINE RAFFIA FOOD COVER,2,2009-12-02 12:06:00,3.75,15542,United Kingdom,7.5
489796,22224,WHITE LOVEBIRD LANTERN,6,2009-12-02 12:15:00,2.95,15680,United Kingdom,17.7
489797,20725,LUNCH BAG RED SPOTTY,1,2009-12-02 12:19:00,1.65,15581,United Kingdom,1.65
489802,85222,ASSORTED COLOUR SILK COSMETIC PURSE,4,2009-12-02 12:32:00,2.1,15581,United Kingdom,8.4
489802,20751,FUNKY WASHING UP GLOVES ASSORTED,1,2009-12-02 12:32:00,2.1,15581,United Kingdom,2.1
489805,84510A,SET OF 4 ENGLISH ROSE COASTERS,2,2009-12-02 12:39:00,1.25,17377,United Kingdom,2.5
489805,84813,SET OF 4 DIAMOND NAPKIN RINGS,1,2009-12-02 12:39:00,12.75,17377,United Kingdom,12.75
489808,20972,PINK CREAM FELT CRAFT TRINKET BOX,4,2009-12-02 12:44:00,1.25,14467,United Kingdom,5.0
489808,20983,12 PENCILS TALL TUBE RED SPOTTY,10,2009-12-02 12:44:00,0.85,14467,United Kingdom,8.5
489814,21533,RETRO SPOT LARGE MILK JUG,1,2009-12-02 13:06:00,4.95,14669,United Kingdom,4.95
489814,21975,PACK OF 60 DINOSAUR CAKE CASES,24,2009-12-02 13:06:00,0.55,14669,United Kingdom,13.2
489814,21041,RED SPOTTY OVEN GLOVE DOUBLE,2,2009-12-02 13:06:00,2.95,14669,United Kingdom,5.9
489814,79163,BLACK CHAMPAGNE GLASS,12,2009-12-02 13:06:00,1.65,14669,United Kingdom,19.8
489822,84901,BLACK FACE LAMB WITH PANTS,1,2009-12-02 13:26:00,3.75,14204,United Kingdom,3.75
489822,22097,SWALLOW SQUARE TISSUE BOX,4,2009-12-02 13:26:00,1.25,14204,United Kingdom,5.0
489824,82582,AREA PATROLLED METAL SIGN,1,2009-12-02 13:33:00,2.1,16797,United Kingdom,2.1
489824,20982,12 PENCILS TALL TUBE SKULLS,2,2009-12-02 13:33:00,0.85,16797,United Kingdom,1.7
489824,21114,LAVENDER SCENTED FABRIC HEART,5,2009-12-02 13:33:00,1.25,16797,United Kingdom,6.25
489824,37506,NEW ENGLAND MILK JUG W GIFT BOX,1,2009-12-02 13:33:00,5.95,16797,United Kingdom,5.95
489830,18007,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,5,2009-12-02 13:57:00,0.18,13623,United Kingdom,0.9
489830,35810B,ENAMEL BLUE RIM COFFEE CONTAINER,1,2009-12-02 13:57:00,2.1,13623,United Kingdom,2.1
489830,90002B,FLOWER BURST SILVER RING ROSE,2,2009-12-02 13:57:00,3.75,13623,United Kingdom,7.5
489833,21482,MUSHROOM BLUE HOT WATER BOTTLE,1,2009-12-02 14:09:00,2.95,14980,United Kingdom,2.95
489833,85185C,COW  SOCK PUPPET,1,2009-12-02 14:09:00,2.95,14980,United Kingdom,2.95
489837,21817,GLITTER CHRISTMAS TREE,10,2009-12-02 14:21:00,0.85,14396,United Kingdom,8.5
489837,21670,BLUE SPOT CERAMIC DRAWER KNOB,6,2009-12-02 14:21:00,1.25,14396,United Kingdom,7.5
489855,82494L,WOODEN FRAME ANTIQUE WHITE,2,2009-12-02 14:34:00,2.95,16987,United Kingdom,5.9
489863,21484,CHICK GREY HOT WATER BOTTLE,1,2009-12-02 14:55:00,3.45,15917,United Kingdom,3.45
489869,22350,CAT BOWL,1,2009-12-02 15:15:00,2.55,16200,United Kingdom,2.55
489869,22336,DOVE DECORATION PAINTED ZINC,2,2009-12-02 15:15:00,0.65,16200,United Kingdom,1.3
489872,21823,PAINTED METAL HEART WITH HOLLY BELL,12,2009-12-02 15:28:00,1.45,15615,United Kingdom,17.4
489875,37464,ROBOT MUG IN DISPLAY BOX,1,2009-12-02 15:41:00,1.25,17841,United Kingdom,1.25
489875,21557,SET OF 6 FUNKY BEAKERS,1,2009-12-02 15:41:00,2.95,17841,United Kingdom,2.95
489875,22125,UNION JACK HOT WATER BOTTLE,1,2009-12-02 15:41:00,5.95,17841,United Kingdom,5.95
489875,84765,SILVER ROCOCO CANDELABRA,3,2009-12-02 15:41:00,12.75,17841,United Kingdom,38.25
489875,84997B,RED 3 PIECE MINI DOTS CUTLERY SET,1,2009-12-02 15:41:00,3.75,17841,United Kingdom,3.75
489878,20887,BOX OF 6 PEBBLE CANDLES,2,2009-12-02 15:51:00,3.45,15989,United Kingdom,6.9
489883,20724,RED SPOTTY CHARLOTTE BAG,10,2009-12-02 16:24:00,0.85,12437,France,8.5
489895,21432,SET OF 3 CASES WOODLAND DESIGN,2,2009-12-03 07:25:00,5.95,12779,Poland,11.9
489900,22253,6 CROCHET STRAWBERRIES,12,2009-12-03 09:44:00,1.25,14771,United Kingdom,15.0
489904,85099B,JUMBO BAG RED WHITE SPOTTY,10,2009-12-03 10:02:00,1.95,13979,United Kingdom,19.5
489904,21480,PINK STRIPE HOT WATER BOTTLE,6,2009-12-03 10:02:00,2.95,13979,United Kingdom,17.7
489905,20905,VINTAGE KEEPSAKE BOX BEAUTY GIRL,4,2009-12-03 10:03:00,6.35,13800,United Kingdom,25.4
489912,20974,12 PENCILS SMALL TUBE SKULL,24,2009-12-03 10:26:00,0.65,13931,United Kingdom,15.6
489912,22131,FOOD CONTAINER SET 3 LOVE HEART,6,2009-12-03 10:26:00,1.95,13931,United Kingdom,11.7
489912,85180B,PINK HEARTS LIGHT CHAIN,6,2009-12-03 10:26:00,4.65,13931,United Kingdom,27.9
489915,22296,HEART IVORY TRELLIS LARGE,24,2009-12-03 10:37:00,1.65,17035,United Kingdom,39.6
489998,21687,SILVER PLATE CANDLE BOWL LARGE,8,2009-12-03 11:19:00,3.75,15658,United Kingdom,30.0
490002,72529W,WHITE ADVENT CANDLE,4,2009-12-03 11:46:00,2.12,17322,United Kingdom,8.48
490004,21877,HOME SWEET HOME MUG,36,2009-12-03 11:53:00,1.25,14051,United Kingdom,45.0
490004,22125,UNION JACK HOT WATER BOTTLE,24,2009-12-03 11:53:00,4.95,14051,United Kingdom,118.8
490005,21754,HOME BUILDING BLOCK WORD,3,2009-12-03 11:57:00,5.95,13993,United Kingdom,17.85
490008,84763,ZINC FINISH 15CM PLANTER POTS,6,2009-12-03 12:10:00,1.25,15768,United Kingdom,7.5
490008,10138,ASSORTED COLOUR JUMBO PEN,12,2009-12-03 12:10:00,0.42,15768,United Kingdom,5.04
490011,11001,ASSTD DESIGN RACING CAR PEN,2,2009-12-03 12:27:00,1.69,16918,United Kingdom,3.38
490013,20754,RETRO RED SPOTTY WASHING UP GLOVES,6,2009-12-03 12:27:00,2.1,17069,United Kingdom,12.6
490014,22125,UNION JACK HOT WATER BOTTLE,2,2009-12-03 12:28:00,5.95,15466,United Kingdom,11.9
490014,22286,"DECORATION , WOBBLY RABBIT , METAL",12,2009-12-03 12:28:00,1.65,15466,United Kingdom,19.8
490014,22093,MOTORING TISSUE BOX,2,2009-12-03 12:28:00,1.25,15466,United Kingdom,2.5
490024,35954,SMALL FOLKART STAR CHRISTMAS DEC,2,2009-12-03 12:40:00,0.42,14606,United Kingdom,0.84
490024,21306,SET/4 DAISY MIRROR MAGNETS,1,2009-12-03 12:40:00,2.1,14606,United Kingdom,2.1
490045,85033S,SET/6 SILVER REINDEER T-LIGHTS,3,2009-12-03 12:50:00,1.95,17287,United Kingdom,5.85
490048,20987,GEISHA GIRL CHOPSTICKS SET/5,9,2009-12-03 13:03:00,1.95,16779,United Kingdom,17.55
490048,37423,WHITE WITH BLACK CATS PLATE,6,2009-12-03 13:03:00,0.85,16779,United Kingdom,5.1
490052,21892,TRADITIONAL WOODEN CATCH CUP GAME,12,2009-12-03 13:09:00,1.25,13895,United Kingdom,15.0
490052,21918,SET 12 KIDS COLOUR  CHALK STICKS,24,2009-12-03 13:09:00,0.42,13895,United Kingdom,10.08
490052,21643,ASSORTED TUTTI FRUTTI MIRROR,12,2009-12-03 13:09:00,1.25,13895,United Kingdom,15.0
490053,21803,CHRISTMAS TREE STAR DECORATION,36,2009-12-03 13:17:00,0.42,14057,United Kingdom,15.12
490053,21485,RED SPOT HEART HOT WATER BOTTLE,1,2009-12-03 13:17:00,4.95,14057,United Kingdom,4.95
490063,21992,VINTAGE PAISLEY STATIONERY SET,1,2009-12-03 13:49:00,2.95,17271,United Kingdom,2.95
490067,82494L,WOODEN FRAME ANTIQUE WHITE,6,2009-12-03 14:02:00,2.95,15856,United Kingdom,17.7
490071,85063,CREAM SWEETHEART MAGAZINE RACK,1,2009-12-03 14:11:00,16.95,16497,United Kingdom,16.95
490078,84706B,FAIRY CAKES TABLE CLOCK,3,2009-12-03 15:09:00,8.95,17853,United Kingdom,26.85
490083,21871,SAVE THE PLANET MUG,12,2009-12-03 15:35:00,1.25,14031,United Kingdom,15.0
490083,22309,TEA COSY RED  STRIPE,6,2009-12-03 15:35:00,2.55,14031,United Kingdom,15.3
490085,21584,RETRO SPOT SMALL TUBE MATCHES,11,2009-12-03 15:43:00,1.65,12937,United Kingdom,18.15
490087,35400,WOODEN BOX ADVENT CALENDAR,2,2009-12-03 15:49:00,8.95,15601,United Kingdom,17.9
490087,21014,SWISS CHALET TREE DECORATION,12,2009-12-03 15:49:00,0.85,15601,United Kingdom,10.2
490087,21493,VINTAGE DESIGN GIFT TAGS,12,2009-12-03 15:49:00,0.85,15601,United Kingdom,10.2
490093,10135,COLOURING PENCILS BROWN TUBE,10,2009-12-03 15:56:00,1.25,12949,United Kingdom,12.5
490099,20679,EDWARDIAN PARASOL RED,3,2009-12-03 16:12:00,5.95,16736,United Kingdom,17.85
490099,79323P,PINK CHERRY LIGHTS,4,2009-12-03 16:12:00,6.75,16736,United Kingdom,27.0
490099,21324,HANGING MEDINA LANTERN SMALL,6,2009-12-03 16:12:00,2.95,16736,United Kingdom,17.7
490099,21258,VICTORIAN SEWING BOX LARGE,1,2009-12-03 16:12:00,12.75,16736,United Kingdom,12.75
490100,22278,OVERNIGHT BAG VINTAGE ROSE PAISLEY,3,2009-12-03 16:21:00,4.95,13001,United Kingdom,14.85
490100,21407,BROWN CHECK CAT DOORSTOP,1,2009-12-03 16:21:00,4.25,13001,United Kingdom,4.25
490100,82578,KITCHEN METAL SIGN,6,2009-12-03 16:21:00,0.55,13001,United Kingdom,3.3
490100,16169C,WRAP BLUE REINDEER,25,2009-12-03 16:21:00,0.42,13001,United Kingdom,10.5
490106,20975,12 PENCILS SMALL TUBE RED SPOTTY,24,2009-12-03 16:40:00,0.65,14898,United Kingdom,15.6
490111,72801E,S/4 FESTIVE GREEN DINNER CANDLES,2,2009-12-03 16:54:00,1.25,17576,United Kingdom,2.5
490111,22113,GREY HEART HOT WATER BOTTLE,5,2009-12-03 16:54:00,3.45,17576,United Kingdom,17.25
490111,84761,IVORY HANGING BIRD PLANTER,8,2009-12-03 16:54:00,2.55,17576,United Kingdom,20.4
490112,82583,HOT BATHS METAL SIGN,6,2009-12-03 17:04:00,2.1,13037,United Kingdom,12.6
490113,21664,RIDGED GLASS STORAGE JAR CREAM LID,1,2009-12-03 17:12:00,3.75,14710,United Kingdom,3.75
490114,21876,POTTERING MUG,6,2009-12-03 17:29:00,1.25,18168,United Kingdom,7.5
490118,22112,CHOCOLATE HOT WATER BOTTLE,3,2009-12-03 17:46:00,4.95,17851,United Kingdom,14.85
490118,22113,GREY HEART HOT WATER BOTTLE,2,2009-12-03 17:46:00,3.45,17851,United Kingdom,6.9
490121,21500,PINK SPOTS  WRAP,25,2009-12-03 17:57:00,0.42,14750,United Kingdom,10.5
490124,35095B,RED VICTORIAN FABRIC OVAL BOX,1,2009-12-03 18:08:00,0.42,16791,United Kingdom,0.42
490125,22086,PAPER CHAIN KIT 50'S CHRISTMAS,36,2009-12-03 18:11:00,2.95,16558,United Kingdom,106.2
490127,21770,OPEN CLOSED METAL SIGN,2,2009-12-03 18:13:00,4.95,14156,EIRE,9.9
490127,84854,GIRLY PINK TOOL SET,4,2009-12-03 18:13:00,4.95,14156,EIRE,19.8
490134,21232,STRAWBERRY CERAMIC TRINKET BOX,4,2009-12-03 18:41:00,1.25,17372,United Kingdom,5.0
490134,22189,CREAM HEART CARD HOLDER,1,2009-12-03 18:41:00,3.95,17372,United Kingdom,3.95
490136,21789,KIDS RAIN MAC PINK,1,2009-12-03 19:13:00,0.85,17432,United Kingdom,0.85
490140,21102,"CANDLE IN JAR COLLAGE , VANILLA",6,2009-12-03 20:03:00,2.55,12872,United Kingdom,15.3
490140,84975,HEART SHAPED MIRROR,6,2009-12-03 20:03:00,1.69,12872,United Kingdom,10.14
490145,22220,CAKE STAND LOVEBIRD 2 TIER WHITE,4,2009-12-04 09:27:00,9.95,14564,Channel Islands,39.8
490145,22127,PARTY CONES CARNIVAL ASSORTED,36,2009-12-04 09:27:00,1.25,14564,Channel Islands,45.0
490145,21639,ASSORTED TUTTI FRUTTI KEYRING,24,2009-12-04 09:27:00,0.85,14564,Channel Islands,20.4
490145,22222,CAKE PLATE LOVEBIRD WHITE,6,2009-12-04 09:27:00,4.95,14564,Channel Islands,29.7
490151,72755D,FLOWER FAIRY OIL BURNER SET SUMMER,4,2009-12-04 09:49:00,4.25,16645,United Kingdom,17.0
490154,85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,1,2009-12-04 10:18:00,7.95,16335,United Kingdom,7.95
490162,21731,RED TOADSTOOL LED NIGHT LIGHT,1,2009-12-04 11:07:00,1.65,13946,United Kingdom,1.65
490162,21181,PLEASE ONE PERSON  METAL SIGN,1,2009-12-04 11:07:00,2.1,13946,United Kingdom,2.1
490164,21480,PINK STRIPE HOT WATER BOTTLE,12,2009-12-04 11:32:00,2.95,14961,United Kingdom,35.4
490164,21329,DINOSAURS  WRITING SET,12,2009-12-04 11:32:00,1.65,14961,United Kingdom,19.8
490167,84836,ZINC METAL HEART DECORATION,24,2009-12-04 11:36:00,1.25,18061,United Kingdom,30.0
490229,21491,SET OF THREE VINTAGE GIFT WRAPS,30,2009-12-04 12:20:00,1.95,18223,United Kingdom,58.5
490229,22198,"POPCORN HOLDER , LARGE",24,2009-12-04 12:20:00,1.65,18223,United Kingdom,39.6
490266,21462,"NURSERY A,B,C PAINTED LETTERS",4,2009-12-04 12:33:00,6.75,15109,United Kingdom,27.0
490272,21232,STRAWBERRY CERAMIC TRINKET BOX,5,2009-12-04 12:36:00,1.25,14680,United Kingdom,6.25
490281,22303,COFFEE MUG APPLES DESIGN,6,2009-12-04 12:37:00,2.55,13481,United Kingdom,15.3
490277,21527,RETRO SPOT TRADITIONAL TEAPOT,24,2009-12-04 12:37:00,6.95,18092,United Kingdom,166.8
490284,20685,RED SPOTTY COIR DOORMAT,1,2009-12-04 12:54:00,6.75,14979,United Kingdom,6.75
490284,21284,RETRO SPOT CANDLE  SMALL,1,2009-12-04 12:54:00,1.69,14979,United Kingdom,1.69
490286,21153,RED SPOTTY TABLECLOTH,1,2009-12-04 12:59:00,10.65,14527,United Kingdom,10.65
490294,21018,BIRD BOX CHRISTMAS TREE DECORATION,2,2009-12-04 13:41:00,0.85,16710,United Kingdom,1.7
490294,21877,HOME SWEET HOME MUG,2,2009-12-04 13:41:00,1.25,16710,United Kingdom,2.5
490299,37447,CERAMIC CAKE DESIGN SPOTTED PLATE,8,2009-12-04 14:14:00,1.49,13680,United Kingdom,11.92
490300,21679,SKULLS  STICKERS,1,2009-12-04 14:19:00,0.85,12970,United Kingdom,0.85
490300,22079,RIBBON REEL HEARTS DESIGN,1,2009-12-04 14:19:00,1.65,12970,United Kingdom,1.65
490300,21731,RED TOADSTOOL LED NIGHT LIGHT,2,2009-12-04 14:19:00,1.65,12970,United Kingdom,3.3
490302,20847,ZINC HEART LATTICE CHARGER LARGE,4,2009-12-04 14:29:00,3.75,17841,United Kingdom,15.0
490302,21034,REX CASH+CARRY JUMBO SHOPPER,1,2009-12-04 14:29:00,0.95,17841,United Kingdom,0.95
490303,48173C,DOOR MAT BLACK FLOCK,1,2009-12-04 14:33:00,6.75,17935,United Kingdom,6.75
490304,22317,FIVE CATS HANGING DECORATION,6,2009-12-04 14:35:00,2.95,17593,United Kingdom,17.7
490304,21380,WOODEN HAPPY BIRTHDAY GARLAND,6,2009-12-04 14:35:00,2.95,17593,United Kingdom,17.7
490312,85136C,RED SHARK HELICOPTER,1,2009-12-04 15:16:00,7.95,17961,United Kingdom,7.95
490312,21544,SKULLS  WATER TRANSFER TATTOOS,5,2009-12-04 15:16:00,0.85,17961,United Kingdom,4.25
490326,35924,HANGING FAIRY CAKE DECORATION,6,2009-12-04 15:28:00,2.1,13733,United Kingdom,12.6
490331,79323B,BLACK CHERRY LIGHTS,1,2009-12-04 15:30:00,6.75,18181,United Kingdom,6.75
490340,72267,PREMIUM CHURCH CANDLE,6,2009-12-04 15:40:00,2.1,13174,United Kingdom,12.6
490341,21212,PACK OF 72 RETRO SPOT CAKE CASES,24,2009-12-04 15:41:00,0.55,13329,United Kingdom,13.2
490346,21456,2 PICTURE BOOK EGGS EASTER CHICKS,12,2009-12-04 16:12:00,1.25,16351,United Kingdom,15.0
490353,21803,CHRISTMAS TREE STAR DECORATION,36,2009-12-04 16:37:00,0.42,15514,United Kingdom,15.12
490360,84508B,STRIPES DESIGN TEDDY,1,2009-12-04 16:52:00,2.55,13679,United Kingdom,2.55
490362,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,1,2009-12-04 17:31:00,3.75,12748,United Kingdom,3.75
490365,79341,WILLOW BRANCH LIGHTS.,24,2009-12-05 10:27:00,5.45,17018,United Kingdom,130.8
490372,79323B,BLACK CHERRY LIGHTS,4,2009-12-05 12:13:00,6.75,17115,United Kingdom,27.0
490378,22064,PINK DOUGHNUT TRINKET POT,12,2009-12-05 13:17:00,1.65,13641,United Kingdom,19.8
490380,82483,WOOD 2 DRAWER CABINET WHITE FINISH,4,2009-12-05 13:26:00,4.95,17850,United Kingdom,19.8
490382,21300,ANTIQUE EDWARDIAN DRESSER,2,2009-12-05 13:32:00,49.95,12359,Cyprus,99.9
490386,21669,BLUE STRIPE CERAMIC DRAWER KNOB,12,2009-12-05 14:57:00,1.25,15240,United Kingdom,15.0
490386,20914,SET/5 RED SPOTTY LID GLASS BOWLS,6,2009-12-05 14:57:00,2.95,15240,United Kingdom,17.7
490389,85221,ASSORTED COLOUR SILK COIN PURSE,12,2009-12-05 15:18:00,1.25,15484,United Kingdom,15.0
490389,72801F,S/4 FESTIVE RED DINNER CANDLES,12,2009-12-05 15:18:00,1.25,15484,United Kingdom,15.0
490390,10134,COLOURING PENCILS BROWN TUBE,10,2009-12-05 15:26:00,1.25,14709,United Kingdom,12.5
490394,79323P,PINK CHERRY LIGHTS,4,2009-12-05 16:01:00,5.45,17850,United Kingdom,21.8
